player_name,Pos,salary,FG_per_game,x3P_game,x2P_game,FT_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,player_poss,exp_points
Jabari Parker,PF,20000000,41.01027817139997,6.779476879282921,34.23080129211704,14.559204445673158,8.779978253497553,38.00952611007802,46.789504363575574,16.89312271559023,5.1123924007707275,3.3341689570243873,16.781983750356083,901.96,109.957897665643
Jae Crowder,SF,7305825,35.08082333083571,19.084850428410622,15.995972902425088,15.665021738926638,6.619023269969002,35.74272565783261,42.361748927801614,14.672168248431287,7.060291487966936,3.4198286894839844,9.376949632456085,908.6800000000001,105.51603826689978
Jake Layman,SF,1544951,48.63100043535971,13.28346771151029,35.34753272384942,11.257176026703636,12.608037149908073,36.248106805985714,48.856143955893785,11.932606588305855,6.979449136556255,6.754305616022182,10.356601944567347,445.24,134.19114237631106
Jalen Brunson,PG,1230000,38.87210030229716,9.276296663048186,29.595803639248974,12.810123963257018,3.681070104384201,21.202963801252995,24.884033905637196,33.86584496033465,5.447983754488617,0.5889712167014721,12.957366767432386,680.8,107.47108723002702
Jamal Crawford,SG,4698113,30.20828678276889,11.631926519801814,18.576360262967075,16.145808452859235,1.3888867486330525,13.36803495559313,14.756921704226182,39.75688317962113,5.729157838111341,2.0833301229495786,17.187473514334023,577.4,88.12305037525921
Jamal Murray,PG,3499800,37.69800916002181,11.169780491858315,26.528228668163496,13.888740216850142,4.776550868228885,18.51832028913352,23.294871157362405,26.675199464109003,4.923521664174388,1.9841057452643058,11.610692879694827,1364.12,105.61028806869848
James Harden,PG,30570000,32.4080987346689,14.531745340100644,17.876353394568252,28.98660313871927,2.5372888689064617,17.37658437493516,19.91387324384162,22.5280496542301,6.074115777079105,2.2297387029784055,14.877739276769706,2607.52,94.95411309776445
James Johnson,PF,14420700,35.599471151028254,10.853497302142761,24.745973848885495,10.853497302142761,4.775538812942815,33.4287716905997,38.20431050354252,29.304442715785456,7.597448111499933,5.860888543157091,16.063176007171286,461.8,100.69599232745092
JaMychal Green,PF,8066667,45.796653521761925,14.13722782628303,31.659425695478898,15.929270790178062,20.70805202723148,60.73034488755386,81.43839691478534,9.95579424386129,8.96021481947516,6.769940085825676,17.32308198431864,503.44,128.5690795011364
Jaren Jackson,PF,5922720,42.63341971029854,7.2963235074672,35.33709620283134,21.602840188775435,10.443757177355012,28.46996819580339,38.9137253731584,9.15617067603727,7.439388674280282,11.731343678672753,14.020386347682072,700.6800000000001,113.66800678423506
Jarrett Allen,C,2034120,55.75337339398963,0.9985678816833963,54.75480551230623,32.786312115271514,31.787744233588114,80.05185851495227,111.83960274854039,18.307077830862266,7.15640315206434,19.971357633667925,17.142081968898303,602.32,143.42798343693983
JaVale McGee,C,2393887,64.58117580375631,0.1614529395093908,64.41972286424692,15.499482192901516,31.483323204331203,59.89904055798398,91.38236376231518,8.39555285448832,7.588288156941367,23.895035047389836,17.436917467014204,620.88,163.40782768188947
